ลำดับ,ชื่อเมนูอาหาร,สถานะการซ้ำ,จำนวนแพ็กเกจที่พบ,ราคาแพ็กเกจที่พบ,ลำดับจานที่พบ,แท็กพิเศษ,สถานะรูปภาพ,ลิงก์รูป
11,"กระดูกหมูตุ๋นเห็ดหอมเยื่อไผ่","ซ้ำกัน (5 ราคา)",5,"1,400.-, 1,500.-, 1,800.-, 2,200.-, 2,500.-","จานที่ 6: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 7: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","ซดคล่องคอ","มีรูปภาพ","/images/dishes/soups/soup-pork-rib-bamboo-fungus.jpg"
12,"กุ้งทอดราดซอสมะขาม","ซ้ำกัน (5 ราคา)",5,"3,000.-, 3,500.-, 4,000.-, 5,000.-, 6,000.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
13,"เต้าทึงเย็น","ซ้ำกัน (5 ราคา)",5,"1,800.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/desserts/dessert-taotung-nam-lamyai-wood.jpg"
14,"ปลากะพงทอดสมุนไพร","ซ้ำกัน (5 ราคา)",5,"2,000.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
15,"ปลากะพงสามรส","ซ้ำกัน (5 ราคา)",5,"2,000.-, 2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
16,"ยำสามกรอบ","ซ้ำกัน (5 ราคา)",5,"1,400.-, 1,500.-, 1,800.-, 2,200.-, 2,300.-","จานที่ 4: ยำ / สลัด (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5: เมนูเป็ด / เมนูยำ (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","รสเด็ด","มีรูปภาพ","/images/dishes/salads/salad-samkrob-cashew-lattice.jpg"
17,"ไก่ผัดเม็ดมะม่วง","ซ้ำกัน (4 ราคา)",4,"1,500.-, 1,700.-, 2,200.-, 2,300.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
18,"ต้มยำรวมมิตร","ซ้ำกัน (4 ราคา)",4,"1,500.-, 1,800.-, 2,200.-, 2,500.-","จานที่ 7: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","ซดคล่องคอ","มีรูปภาพ","/images/dishes/hotpots/hotpot-seafood-potaek-ladle-5.jpg"
19,"ปลากะพงทอดน้ำปลา","ซ้ำกัน (4 ราคา)",4,"2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","ปลากะพงสด","ไม่มีรูป",""
20,"ปลาช่อนทอดยำมะม่วง","ซ้ำกัน (4 ราคา)",4,"2,200.-, 2,300.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
21,"ปลาทับทิมนึ่งบ๊วย","ซ้ำกัน (4 ราคา)",4,"1,400.-, 1,500.-, 1,700.-, 1,800.-","จานที่ 5: เมนูปลา (เลือก 1 อย่าง) | จานที่ 6: เมนูปลา (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/fish/fish-ruby-steamed-plum-red-oval.jpg"
22,"ปลาทับทิมนึ่งมะนาว","ซ้ำกัน (4 ราคา)",4,"1,400.-, 1,500.-, 1,700.-, 1,800.-","จานที่ 5: เมนูปลา (เลือก 1 อย่าง) | จานที่ 6: เมนูปลา (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","รสจัดจ้าน","มีรูปภาพ","/images/dishes/fish/fish-ruby-steamed-lime-red-oval.jpg"
23,"สตรอว์เบอร์รี่ลอยแก้ว","ซ้ำกัน (4 ราคา)",4,"2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง)","-","ไม่มีรูป",""
24,"กุ้งอบวุ้นเส้น","ซ้ำกัน (3 ราคา)",3,"1,500.-, 1,700.-, 2,300.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","กุ้งสดหอมเครื่องเทศ","ไม่มีรูป",""
25,"แกงส้มชะอมกุ้ง","ซ้ำกัน (3 ราคา)",3,"1,800.-, 2,200.-, 2,500.-","จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/hotpots/hotpot-gaengsom-cha-om-kung.jpg"
26,"ขาหมูเยอรมัน","ซ้ำกัน (3 ราคา)",3,"2,200.-, 2,300.-, 2,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","หนังกรอบฟู","ไม่มีรูป",""
27,"เงาะลอยแก้ว","ซ้ำกัน (3 ราคา)",3,"1,400.-, 1,800.-, 2,000.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง)","หวานเย็น","มีรูปภาพ","/images/dishes/desserts/dessert-rambutan-loy-kaew-wood.jpg"
28,"เต้าทึงน้ำลำไย","ซ้ำกัน (3 ราคา)",3,"1,700.-, 2,000.-, 2,300.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","-","ไม่มีรูป",""
29,"ทอดมันกุ้ง","ซ้ำกัน (3 ราคา)",3,"1,800.-, 2,000.-, 2,500.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ของทอดมงคล (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/appetizers/tod-mun-kung-crispy-2026.jpg"
30,"เนื้อปูก้อนผัดผงกะหรี่","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 6 (เลือก 1 อย่าง)","ปูก้อนแน่น","ไม่มีรูป",""
31,"บะหมี่หมูแดง","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
32,"บะหมี่หยกเนื้อปู","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
33,"บะหมี่ฮ่องกงผัดแห้ง","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
34,"ปลาเก๋าต้มบ๊วย","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 9: เมนูต้มและตุ๋น (เลือก 1 อย่าง)","ปลาเก๋าสด","ไม่มีรูป",""
35,"ปลาทับทิมทอดน้ำปลา","ซ้ำกัน (3 ราคา)",3,"1,400.-, 1,500.-, 1,800.-","จานที่ 5: เมนูปลา (เลือก 1 อย่าง) | จานที่ 6: เมนูปลา (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","กรอบนอกนุ่มใน","มีรูปภาพ","/images/dishes/fish/fish-ruby-fried-fishsauce-red-oval.jpg"
36,"ปลาทับทิมทอดยำมะม่วง","ซ้ำกัน (3 ราคา)",3,"1,400.-, 1,700.-, 1,800.-","จานที่ 5: เมนูปลา (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/fish/fish-ruby-fried-fishsauce-red-oval.jpg"
37,"ปลาทับทิมสามรส","ซ้ำกัน (3 ราคา)",3,"1,500.-, 1,700.-, 1,800.-","จานที่ 6: เมนูปลา (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/fish/fish-ruby-three-flavor-red-oval.jpg"
38,"ปลาหมึกนึ่งมะนาว","ซ้ำกัน (3 ราคา)",3,"2,200.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
39,"เป็ดปักกิ่ง","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 4 | จานที่ 4 (เลือก 1 อย่าง)","⭐ หนังกรอบสูตรฮ่องกง","ไม่มีรูป",""
40,"เป็ดย่าง","ซ้ำกัน (3 ราคา)",3,"2,300.-, 3,000.-, 3,500.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
41,"เป๋าฮื้อน้ำแดง","ซ้ำกัน (3 ราคา)",3,"2,500.-, 3,000.-, 3,500.-","จานที่ 5: เป็ดสับย่าง / เป๋าฮื้อ (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง)","เป๋าฮื้อแท้","ไม่มีรูป",""
42,"แปะก๊วยตุ๋นมะพร้าวอ่อน","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","มงคล","ไม่มีรูป",""
43,"แปะก๊วยเต้าฮู้นมสด","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","-","ไม่มีรูป",""
44,"แปะก๊วยรังนกเย็น","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","-","ไม่มีรูป",""
45,"โป๊ะแตก","ซ้ำกัน (3 ราคา)",3,"1,800.-, 2,200.-, 2,500.-","จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/hotpots/hotpot-seafood-potaek-steaming-1.jpg"
46,"เม็ดมะม่วงหิมพานต์อบเกลือ","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 1","ของทานเล่น","ไม่มีรูป",""
47,"สลัดกุ้งทอด","ซ้ำกัน (3 ราคา)",3,"1,400.-, 1,700.-, 4,000.-","จานที่ 4: ยำ / สลัด (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","กุ้งสด","ไม่มีรูป",""
48,"สลัดปูนิ่ม","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
49,"หน่อไม้กระป๋องตุ๋นไข่นกเห็ดหอม","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 9: เมนูต้มและตุ๋น (เลือก 1 อย่าง)","-","ไม่มีรูป",""
50,"หน่อไม้ทะเลขาห่าน","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
51,"หัวปลาเก๋าต้มเผือก","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 9: เมนูต้มและตุ๋น (เลือก 1 อย่าง)","-","ไม่มีรูป",""
52,"หูฉลามน้ำแดงเนื้อปูก้อน","ซ้ำกัน (3 ราคา)",3,"2,500.-, 3,000.-, 3,500.-","จานที่ 3","⭐ ปูก้อนแน่น","ไม่มีรูป",""
53,"หูฉลามน้ำแดงเนื้อปูก้อนเห็ดหอม","ซ้ำกัน (3 ราคา)",3,"4,000.-, 5,000.-, 6,000.-","จานที่ 3","⭐ หูฉลามแท้","ไม่มีรูป",""
54,"กระเพาะปลาน้ำแดงทรงเครื่อง","ซ้ำกัน (2 ราคา)",2,"1,400.-, 1,500.-","จานที่ 3 | จานที่ 3 (เลือก 1 อย่าง)","สูตรภัตตาคาร","ไม่มีรูป",""
55,"กุ้งผัดพริกเกลือ","ซ้ำกัน (2 ราคา)",2,"4,000.-, 5,000.-","จานที่ 5 (เลือก 1 อย่าง)","กุ้งสดตัวใหญ่","ไม่มีรูป",""
56,"แกงจืดกระเพาะหมูเกี้ยมฉ่าย","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
57,"แกงป่ารวมมิตร","ซ้ำกัน (2 ราคา)",2,"2,000.-, 2,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/hotpots/gaengpa-ruammit-hotpot-2026-v2.jpg?v=20260905_v5"
58,"แกงส้มแป๊ะซะ","ซ้ำกัน (2 ราคา)",2,"2,200.-, 2,500.-","จานที่ 9 (เลือก 1 อย่าง)","หม้อไฟรสเด็ด","ไม่มีรูป",""
59,"ไก่ตุ๋นเห็ดหอม","ซ้ำกัน (2 ราคา)",2,"2,000.-, 2,300.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
60,"ไก่ทอดอบซอสเหล้าแดง","ซ้ำกัน (2 ราคา)",2,"1,800.-, 2,000.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ของทอดมงคล (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/appetizers/chicken-crispy-red-wine-sauce-custom-2026.jpg"
61,"ไก่อบซอสเหล้าแดง","ซ้ำกัน (2 ราคา)",2,"2,300.-, 2,500.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
62,"ขนมจีบ, ไข่เยี่ยวม้า, ไส้กรอก, แฮม, หมูแผ่น","ซ้ำกัน (2 ราคา)",2,"1,400.-, 1,500.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","5 อย่างครบชุด","มีรูปภาพ","/images/dishes/appetizers/appetizer-5-platter-banquet-tower.jpg"
63,"ข้าวเกรียบ","ซ้ำกัน (2 ราคา)",2,"1,400.-, 1,800.-","จานที่ 1","ของทานเล่น","มีรูปภาพ","/images/dishes/dish-prawn-crackers.jpg"
64,"ข้าวเกรียบ, ถั่วอบเนย","ซ้ำกัน (2 ราคา)",2,"2,000.-, 2,300.-","จานที่ 1","ของทานเล่น","ไม่มีรูป",""
65,"ข้าวผัดไก่","ซ้ำกัน (2 ราคา)",2,"1,400.-, 1,500.-","จานที่ 7: ข้าวผัด / หมี่ (เลือก 1 อย่าง) | จานที่ 8: ข้าวผัด / หมี่ (เลือก 1 อย่าง)","เนื้อนุ่มหอมกรุ่น","ไม่มีรูป",""
66,"ข้าวผัดแฮม","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 8 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
67,"ข้าวเหนียวเผือกแปะก๊วยมะพร้าวอ่อน","ซ้ำกัน (2 ราคา)",2,"2,000.-, 2,300.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","ของหวานมงคล","ไม่มีรูป",""
68,"ขาหมูน้ำแดง","ซ้ำกัน (2 ราคา)",2,"1,800.-, 2,000.-","จานที่ 4 (เลือก 1 อย่าง)","นุ่มละมุน","มีรูปภาพ","/images/dishes/pork/pork-knuckle-braised-peanut-platter.jpg"
69,"ขาหมูหมั่นโถว","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","สูตรฮ่องกง","ไม่มีรูป",""
70,"ต้มยำกุ้งตัวใหญ่","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","กุ้งตัวใหญ่","ไม่มีรูป",""
71,"ต้มยำขาหมู","ซ้ำกัน (2 ราคา)",2,"1,400.-, 2,300.-","จานที่ 6: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
72,"ต้มยำเนื้อปลากะพง","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
73,"ต้มยำรวมมิตรน้ำข้น","ซ้ำกัน (2 ราคา)",2,"1,400.-, 2,300.-","จานที่ 6: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
74,"ต้มยำ / ออเดิร์ฟ 5 อย่าง / ออเดิร์ฟทะเลนึ่ง","ซ้ำกัน (2 ราคา)",2,"2,500.-, 3,000.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","5 อย่างจักรพรรดิ","มีรูปภาพ","/images/dishes/appetizers/appetizer-5-platter-banquet-tower.jpg"
75,"ติ่มซำนึ่งร้อน (ขนมจีบกุ้ง/หมู, ซาลาเปา, ฮะเก๋า, เกี๊ยวซ่า)","ซ้ำกัน (2 ราคา)",2,"1,800.-, 2,200.-","จานที่ 2: ออเดิร์ฟ (เลือก 1 อย่าง)","ติ่มซำนึ่ง","มีรูปภาพ","/images/dishes/appetizers/appetizer-dimsum-topdown.jpg"
76,"ทะเลผัดฉ่า","ซ้ำกัน (2 ราคา)",2,"2,300.-, 2,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
77,"ทะเลอบวุ้นเส้น","ซ้ำกัน (2 ราคา)",2,"1,700.-, 2,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
78,"บล็อกโคลี่เจียน้ำแดง","ซ้ำกัน (2 ราคา)",2,"2,200.-, 2,300.-","จานที่ 5: เป็ดสับย่าง / ผักเจียน้ำแดง (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","ผักนำเข้า","ไม่มีรูป",""
79,"บะหมี่น้ำผึ้งหมูหยอง","ซ้ำกัน (2 ราคา)",2,"5,000.-, 6,000.-","จานที่ 8 (เลือก 1 อย่าง)","สูตรฮ่องกง","ไม่มีรูป",""
80,"ปลาเก๋านึ่งบ๊วย","ซ้ำกัน (2 ราคา)",2,"5,000.-, 6,000.-","จานที่ 7 (เลือก 1 อย่าง)","ปลาเก๋าสด","ไม่มีรูป",""
81,"ปลาช่อนโฮกฮือ","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
82,"ปลาหิมะนึ่งซีอิ๊ว","ซ้ำกัน (2 ราคา)",2,"3,000.-, 4,000.-","จานที่ 5 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","ปลาหิมะนำเข้า","ไม่มีรูป",""
83,"ปูทะเลอบวุ้นเส้น","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 4 (เลือก 1 อย่าง)","ปูทะเลสด","ไม่มีรูป",""
84,"ปูนิ่มราดซอสมะขาม","ซ้ำกัน (2 ราคา)",2,"5,000.-, 6,000.-","จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
85,"เป็ดยอดผัก","ซ้ำกัน (2 ราคา)",2,"1,500.-, 2,000.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
86,"เป็ดยัดไส้เกาลัด","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
87,"แปะก๊วยนมสด","ซ้ำกัน (2 ราคา)",2,"4,000.-, 5,000.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","-","ไม่มีรูป",""
88,"ผัดโหงวก๊วย","ซ้ำกัน (2 ราคา)",2,"2,200.-, 2,500.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เป๋าฮื้อ (เลือก 1 อย่าง)","มงคล 5 เซียน","ไม่มีรูป",""
89,"เมี่ยงปลาทับทิม","ซ้ำกัน (2 ราคา)",2,"1,700.-, 1,800.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/fish/fish-ruby-miang-pla-herb-2026.jpg"
90,"ยำขาหมูสไลด์","ซ้ำกัน (2 ราคา)",2,"1,500.-, 2,300.-","จานที่ 5: เมนูเป็ด / เมนูยำ (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
91,"ยำตะไคร้กุ้งสด","ซ้ำกัน (2 ราคา)",2,"1,800.-, 2,300.-","จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","สมุนไพรสด","มีรูปภาพ","/images/dishes/salads/salad-yam-takrai-kung-sod-2026.jpg"
