ลำดับ,ชื่อเมนูอาหารที่ซ้ำ,จำนวนราคาที่ซ้ำ,ช่วงราคาต่ำสุด-สูงสุด,รายชื่อแพ็กเกจราคา,ลำดับจาน,สถานะรูป
16,"ยำสามกรอบ",5,"1,400 - 2,300 บาท","1,400.-, 1,500.-, 1,800.-, 2,200.-, 2,300.-","จานที่ 4: ยำ / สลัด (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5: เมนูเป็ด / เมนูยำ (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","มีรูปภาพ"
17,"ไก่ผัดเม็ดมะม่วง",4,"1,500 - 2,300 บาท","1,500.-, 1,700.-, 2,200.-, 2,300.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
18,"ต้มยำรวมมิตร",4,"1,500 - 2,500 บาท","1,500.-, 1,800.-, 2,200.-, 2,500.-","จานที่ 7: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","มีรูปภาพ"
19,"ปลากะพงทอดน้ำปลา",4,"2,200 - 3,500 บาท","2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
20,"ปลาช่อนทอดยำมะม่วง",4,"2,200 - 3,500 บาท","2,200.-, 2,300.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
21,"ปลาทับทิมนึ่งบ๊วย",4,"1,400 - 1,800 บาท","1,400.-, 1,500.-, 1,700.-, 1,800.-","จานที่ 5: เมนูปลา (เลือก 1 อย่าง) | จานที่ 6: เมนูปลา (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","มีรูปภาพ"
22,"ปลาทับทิมนึ่งมะนาว",4,"1,400 - 1,800 บาท","1,400.-, 1,500.-, 1,700.-, 1,800.-","จานที่ 5: เมนูปลา (เลือก 1 อย่าง) | จานที่ 6: เมนูปลา (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","มีรูปภาพ"
23,"สตรอว์เบอร์รี่ลอยแก้ว",4,"2,200 - 3,500 บาท","2,200.-, 2,500.-, 3,000.-, 3,500.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง)","ไม่มีรูป"
24,"กุ้งอบวุ้นเส้น",3,"1,500 - 2,300 บาท","1,500.-, 1,700.-, 2,300.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
25,"แกงส้มชะอมกุ้ง",3,"1,800 - 2,500 บาท","1,800.-, 2,200.-, 2,500.-","จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","มีรูปภาพ"
26,"ขาหมูเยอรมัน",3,"2,200 - 2,500 บาท","2,200.-, 2,300.-, 2,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","ไม่มีรูป"
27,"เงาะลอยแก้ว",3,"1,400 - 2,000 บาท","1,400.-, 1,800.-, 2,000.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 9: ของหวาน (เลือก 1 อย่าง)","มีรูปภาพ"
28,"เต้าทึงน้ำลำไย",3,"1,700 - 2,300 บาท","1,700.-, 2,000.-, 2,300.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","ไม่มีรูป"
29,"ทอดมันกุ้ง",3,"1,800 - 2,500 บาท","1,800.-, 2,000.-, 2,500.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ของทอดมงคล (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","มีรูปภาพ"
30,"เนื้อปูก้อนผัดผงกะหรี่",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
31,"บะหมี่หมูแดง",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
32,"บะหมี่หยกเนื้อปู",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
33,"บะหมี่ฮ่องกงผัดแห้ง",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
34,"ปลาเก๋าต้มบ๊วย",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 9: เมนูต้มและตุ๋น (เลือก 1 อย่าง)","ไม่มีรูป"
35,"ปลาทับทิมทอดน้ำปลา",3,"1,400 - 1,800 บาท","1,400.-, 1,500.-, 1,800.-","จานที่ 5: เมนูปลา (เลือก 1 อย่าง) | จานที่ 6: เมนูปลา (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","มีรูปภาพ"
36,"ปลาทับทิมทอดยำมะม่วง",3,"1,400 - 1,800 บาท","1,400.-, 1,700.-, 1,800.-","จานที่ 5: เมนูปลา (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","มีรูปภาพ"
37,"ปลาทับทิมสามรส",3,"1,500 - 1,800 บาท","1,500.-, 1,700.-, 1,800.-","จานที่ 6: เมนูปลา (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","มีรูปภาพ"
38,"ปลาหมึกนึ่งมะนาว",3,"2,200 - 3,500 บาท","2,200.-, 3,000.-, 3,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
39,"เป็ดปักกิ่ง",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 4 | จานที่ 4 (เลือก 1 อย่าง)","ไม่มีรูป"
40,"เป็ดย่าง",3,"2,300 - 3,500 บาท","2,300.-, 3,000.-, 3,500.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
41,"เป๋าฮื้อน้ำแดง",3,"2,500 - 3,500 บาท","2,500.-, 3,000.-, 3,500.-","จานที่ 5: เป็ดสับย่าง / เป๋าฮื้อ (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง)","ไม่มีรูป"
42,"แปะก๊วยตุ๋นมะพร้าวอ่อน",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","ไม่มีรูป"
43,"แปะก๊วยเต้าฮู้นมสด",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","ไม่มีรูป"
44,"แปะก๊วยรังนกเย็น",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","ไม่มีรูป"
45,"โป๊ะแตก",3,"1,800 - 2,500 บาท","1,800.-, 2,200.-, 2,500.-","จานที่ 8 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","มีรูปภาพ"
46,"เม็ดมะม่วงหิมพานต์อบเกลือ",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 1","ไม่มีรูป"
47,"สลัดกุ้งทอด",3,"1,400 - 4,000 บาท","1,400.-, 1,700.-, 4,000.-","จานที่ 4: ยำ / สลัด (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
48,"สลัดปูนิ่ม",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
49,"หน่อไม้กระป๋องตุ๋นไข่นกเห็ดหอม",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 9: เมนูต้มและตุ๋น (เลือก 1 อย่าง)","ไม่มีรูป"
50,"หน่อไม้ทะเลขาห่าน",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
51,"หัวปลาเก๋าต้มเผือก",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 9: เมนูต้มและตุ๋น (เลือก 1 อย่าง)","ไม่มีรูป"
52,"หูฉลามน้ำแดงเนื้อปูก้อน",3,"2,500 - 3,500 บาท","2,500.-, 3,000.-, 3,500.-","จานที่ 3","ไม่มีรูป"
53,"หูฉลามน้ำแดงเนื้อปูก้อนเห็ดหอม",3,"4,000 - 6,000 บาท","4,000.-, 5,000.-, 6,000.-","จานที่ 3","ไม่มีรูป"
54,"กระเพาะปลาน้ำแดงทรงเครื่อง",2,"1,400 - 1,500 บาท","1,400.-, 1,500.-","จานที่ 3 | จานที่ 3 (เลือก 1 อย่าง)","ไม่มีรูป"
55,"กุ้งผัดพริกเกลือ",2,"4,000 - 5,000 บาท","4,000.-, 5,000.-","จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
56,"แกงจืดกระเพาะหมูเกี้ยมฉ่าย",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
57,"แกงป่ารวมมิตร",2,"2,000 - 2,500 บาท","2,000.-, 2,500.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 9 (เลือก 1 อย่าง)","มีรูปภาพ"
58,"แกงส้มแป๊ะซะ",2,"2,200 - 2,500 บาท","2,200.-, 2,500.-","จานที่ 9 (เลือก 1 อย่าง)","ไม่มีรูป"
59,"ไก่ตุ๋นเห็ดหอม",2,"2,000 - 2,300 บาท","2,000.-, 2,300.-","จานที่ 7 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
60,"ไก่ทอดอบซอสเหล้าแดง",2,"1,800 - 2,000 บาท","1,800.-, 2,000.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / ของทอดมงคล (เลือก 1 อย่าง)","มีรูปภาพ"
61,"ไก่อบซอสเหล้าแดง",2,"2,300 - 2,500 บาท","2,300.-, 2,500.-","จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
62,"ขนมจีบ, ไข่เยี่ยวม้า, ไส้กรอก, แฮม, หมูแผ่น",2,"1,400 - 1,500 บาท","1,400.-, 1,500.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","มีรูปภาพ"
63,"ข้าวเกรียบ",2,"1,400 - 1,800 บาท","1,400.-, 1,800.-","จานที่ 1","มีรูปภาพ"
64,"ข้าวเกรียบ, ถั่วอบเนย",2,"2,000 - 2,300 บาท","2,000.-, 2,300.-","จานที่ 1","ไม่มีรูป"
65,"ข้าวผัดไก่",2,"1,400 - 1,500 บาท","1,400.-, 1,500.-","จานที่ 7: ข้าวผัด / หมี่ (เลือก 1 อย่าง) | จานที่ 8: ข้าวผัด / หมี่ (เลือก 1 อย่าง)","ไม่มีรูป"
66,"ข้าวผัดแฮม",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 8 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","ไม่มีรูป"
67,"ข้าวเหนียวเผือกแปะก๊วยมะพร้าวอ่อน",2,"2,000 - 2,300 บาท","2,000.-, 2,300.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","ไม่มีรูป"
68,"ขาหมูน้ำแดง",2,"1,800 - 2,000 บาท","1,800.-, 2,000.-","จานที่ 4 (เลือก 1 อย่าง)","มีรูปภาพ"
69,"ขาหมูหมั่นโถว",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
70,"ต้มยำกุ้งตัวใหญ่",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
71,"ต้มยำขาหมู",2,"1,400 - 2,300 บาท","1,400.-, 2,300.-","จานที่ 6: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
72,"ต้มยำเนื้อปลากะพง",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
73,"ต้มยำรวมมิตรน้ำข้น",2,"1,400 - 2,300 บาท","1,400.-, 2,300.-","จานที่ 6: ต้ม / แกง (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
74,"ต้มยำ / ออเดิร์ฟ 5 อย่าง / ออเดิร์ฟทะเลนึ่ง",2,"2,500 - 3,000 บาท","2,500.-, 3,000.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","มีรูปภาพ"
75,"ติ่มซำนึ่งร้อน (ขนมจีบกุ้ง/หมู, ซาลาเปา, ฮะเก๋า, เกี๊ยวซ่า)",2,"1,800 - 2,200 บาท","1,800.-, 2,200.-","จานที่ 2: ออเดิร์ฟ (เลือก 1 อย่าง)","มีรูปภาพ"
76,"ทะเลผัดฉ่า",2,"2,300 - 2,500 บาท","2,300.-, 2,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง)","ไม่มีรูป"
77,"ทะเลอบวุ้นเส้น",2,"1,700 - 2,500 บาท","1,700.-, 2,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 4 (เลือก 1 อย่าง)","ไม่มีรูป"
78,"บล็อกโคลี่เจียน้ำแดง",2,"2,200 - 2,300 บาท","2,200.-, 2,300.-","จานที่ 5: เป็ดสับย่าง / ผักเจียน้ำแดง (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
79,"บะหมี่น้ำผึ้งหมูหยอง",2,"5,000 - 6,000 บาท","5,000.-, 6,000.-","จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
80,"ปลาเก๋านึ่งบ๊วย",2,"5,000 - 6,000 บาท","5,000.-, 6,000.-","จานที่ 7 (เลือก 1 อย่าง)","ไม่มีรูป"
81,"ปลาช่อนโฮกฮือ",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
82,"ปลาหิมะนึ่งซีอิ๊ว",2,"3,000 - 4,000 บาท","3,000.-, 4,000.-","จานที่ 5 (เลือก 1 อย่าง) | จานที่ 7 (เลือก 1 อย่าง)","ไม่มีรูป"
83,"ปูทะเลอบวุ้นเส้น",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 4 (เลือก 1 อย่าง)","ไม่มีรูป"
84,"ปูนิ่มราดซอสมะขาม",2,"5,000 - 6,000 บาท","5,000.-, 6,000.-","จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
85,"เป็ดยอดผัก",2,"1,500 - 2,000 บาท","1,500.-, 2,000.-","จานที่ 4 (เลือก 1 อย่าง)","ไม่มีรูป"
86,"เป็ดยัดไส้เกาลัด",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
87,"แปะก๊วยนมสด",2,"4,000 - 5,000 บาท","4,000.-, 5,000.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวานแปะก๊วย (เลือก 1 อย่าง)","ไม่มีรูป"
88,"ผัดโหงวก๊วย",2,"2,200 - 2,500 บาท","2,200.-, 2,500.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เป๋าฮื้อ (เลือก 1 อย่าง)","ไม่มีรูป"
89,"เมี่ยงปลาทับทิม",2,"1,700 - 1,800 บาท","1,700.-, 1,800.-","จานที่ 4 (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","มีรูปภาพ"
90,"ยำขาหมูสไลด์",2,"1,500 - 2,300 บาท","1,500.-, 2,300.-","จานที่ 5: เมนูเป็ด / เมนูยำ (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
91,"ยำตะไคร้กุ้งสด",2,"1,800 - 2,300 บาท","1,800.-, 2,300.-","จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","มีรูปภาพ"
92,"ยำทะเล",2,"1,400 - 1,800 บาท","1,400.-, 1,800.-","จานที่ 4: ยำ / สลัด (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง)","มีรูปภาพ"
93,"ลิ้นจี่ลอยแก้ว",2,"1,400 - 2,300 บาท","1,400.-, 2,300.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","ไม่มีรูป"
94,"สลัดกุ้งทอดกระทงเผือก",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","ไม่มีรูป"
95,"หน่อไม้ทะเลเจี๋ยนคะน้าฮ่องกง",2,"5,000 - 6,000 บาท","5,000.-, 6,000.-","จานที่ 6 (เลือก 1 อย่าง)","ไม่มีรูป"
96,"หมูมะนาว",2,"1,800 - 2,200 บาท","1,800.-, 2,200.-","จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","มีรูปภาพ"
97,"หมูหันฮ่องกง",2,"5,000 - 6,000 บาท","5,000.-, 6,000.-","จานที่ 4 (เลือก 1 อย่าง)","ไม่มีรูป"
98,"หัวปลาเผือกหม้อไฟ",2,"3,000 - 3,500 บาท","3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","ไม่มีรูป"
99,"ออเดิร์ฟ 5 อย่าง (ขนมจีบ, ไข่เยี่ยวม้า, ไส้กรอก, แฮม, หมูแผ่น)",2,"1,800 - 2,200 บาท","1,800.-, 2,200.-","จานที่ 2: ออเดิร์ฟ (เลือก 1 อย่าง)","มีรูปภาพ"
100,"ออเดิร์ฟทะเลนึ่งเตาซึ้ง (ก้ามปู, ปูอัด, ลูกชิ้นปลา, เต้าหู้ปลา, กุ้งลวก)",2,"1,800 - 2,200 บาท","1,800.-, 2,200.-","จานที่ 2: ออเดิร์ฟ (เลือก 1 อย่าง)","มีรูปภาพ"
101,"ออเดิร์ฟฮ่องกง (ติ่มซำ) / ออเดิร์ฟ 5 อย่าง",2,"5,000 - 6,000 บาท","5,000.-, 6,000.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","มีรูปภาพ"
